ad_id,title,release_year,categories,click_count,impression_count,ctr
1,Toy Story (1995),1995,Adventure|Animation|Children|Comedy|Fantasy,10759,13740,0.783
2,Jumanji (1995),1995,Adventure|Children|Fantasy,4853,7564,0.6416
3,Grumpier Old Men (1995),1995,Comedy|Romance,2769,4399,0.6294
4,Waiting to Exhale (1995),1995,Comedy|Drama|Romance,610,1061,0.5748
5,Father of the Bride Part II (1995),1995,Comedy,2629,4289,0.6129
6,Heat (1995),1995,Action|Crime|Thriller,5245,6822,0.7688
7,Sabrina (1995),1995,Comedy|Romance,2812,4186,0.6717
8,Tom and Huck (1995),1995,Adventure|Children,324,518,0.6253
9,Sudden Death (1995),1995,Action,852,1421,0.5995
10,GoldenEye (1995),1995,Action|Adventure|Thriller,6330,9264,0.6832
11,"American President, The (1995)",1995,Comedy|Drama|Romance,3846,5213,0.7378
12,Dracula: Dead and Loving It (1995),1995,Comedy|Horror,841,1581,0.5317
13,Balto (1995),1995,Adventure|Animation|Children,318,498,0.6381
14,Nixon (1995),1995,Drama,1278,1883,0.6786
15,Cutthroat Island (1995),1995,Action|Adventure|Romance,634,1170,0.5416
16,Casino (1995),1995,Crime|Drama,3846,5043,0.7626
17,Sense and Sensibility (1995),1995,Drama|Romance,4556,5734,0.7945
18,Four Rooms (1995),1995,Comedy,1111,1676,0.6626
19,Ace Ventura: When Nature Calls (1995),1995,Comedy,4501,8601,0.5233
20,Money Train (1995),1995,Action|Comedy|Crime|Drama|Thriller,873,1509,0.5784
21,Get Shorty (1995),1995,Comedy|Crime|Thriller,5164,7215,0.7157
22,Copycat (1995),1995,Crime|Drama|Horror|Mystery|Thriller,2208,3343,0.6604
23,Assassins (1995),1995,Action|Crime|Thriller,871,1386,0.6284
24,Powder (1995),1995,Drama|Sci-Fi,1737,2740,0.6337
25,Leaving Las Vegas (1995),1995,Drama|Romance,4684,6345,0.7382
26,Othello (1995),1995,Drama,581,801,0.7251
27,Now and Then (1995),1995,Children|Drama,366,529,0.691
28,Persuasion (1995),1995,Drama|Romance,670,822,0.8143
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1859,2368,0.785
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,Crime|Drama,270,367,0.7352
31,Dangerous Minds (1995),1995,Drama,2033,3099,0.656
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,Mystery|Sci-Fi|Thriller,9694,12447,0.7788
33,Wings of Courage (1995),1995,Adventure|Romance|IMAX,18,29,0.6056
