visitor_id,avg_ctr,click_count,impression_count
1,0.9524,20,21
2,0.7857,11,14
3,0.6471,22,34
4,0.5714,16,28
5,0.7115,37,52
6,0.6087,14,23
7,0.3585,19,53
8,0.6714,47,70
9,1.0,2,2
10,0.8889,8,9
11,0.8732,62,71
12,0.5278,19,36
13,0.5645,35,62
14,0.7308,38,52
15,0.2653,13,49
16,0.5833,7,12
17,0.5,3,6
18,0.625,10,16
19,0.6327,31,49
20,0.4286,3,7
21,0.6471,22,34
22,0.5806,18,31
23,0.7097,22,31
24,0.5327,57,107
25,0.7857,33,42
26,0.3934,24,61
27,0.75,12,16
28,0.2188,7,32
29,0.4407,78,177
30,0.2,2,10
31,0.375,3,8
32,0.4028,29,72
33,0.5,4,8
34,0.6667,62,93
35,0.7037,19,27
36,0.1667,1,6
38,0.5135,38,74
39,0.5789,11,19
40,0.3846,5,13
41,0.8235,14,17
42,0.8462,11,13
43,0.7143,15,21
44,1.0,10,10
45,0.4545,5,11
46,0.4828,56,116
47,0.28,7,25
48,0.7031,45,64
49,0.7273,8,11
50,0.9231,24,26
51,0.8,12,15
52,0.4,8,20
53,0.7857,55,70
54,0.4586,61,133
55,0.875,7,8
56,0.4783,22,46
57,0.8571,6,7
58,0.8777,122,139
59,0.7,7,10
60,0.7333,11,15
61,0.5,15,30
62,1.0,8,8
63,0.75,9,12
64,0.8438,27,32
65,0.875,7,8
66,0.6667,14,21
67,0.7895,15,19
68,0.4062,13,32
69,0.2304,44,191
70,0.4286,15,35
71,1.0,2,2
72,0.7778,21,27
73,0.5263,20,38
74,1.0,18,18
75,0.7021,33,47
76,0.625,5,8
77,0.5,9,18
78,0.75,9,12
79,0.8,4,5
80,0.5,9,18
81,1.0,5,5
82,1.0,19,19
83,0.7778,7,9
84,0.7222,26,36
85,1.0,12,12
86,0.6,3,5
87,0.2571,9,35
88,0.234,11,47
89,0.8571,6,7
90,0.7429,26,35
91,0.5486,79,144
92,0.5,2,4
93,0.6182,34,55
94,0.6,3,5
95,0.3478,8,23
96,0.6667,24,36
97,0.4167,5,12
98,1.0,8,8
99,0.9,9,10
100,0.5,24,48
101,0.4878,60,123
102,0.8824,15,17
103,0.5556,5,9
104,0.2346,61,260
105,0.6364,14,22
106,0.8333,5,6
107,0.5714,4,7
108,0.2778,25,90
109,0.5484,17,31
110,0.7619,16,21
111,1.0,4,4
112,0.8182,18,22
113,0.6818,15,22
114,0.5957,28,47
115,0.3846,5,13
116,0.1826,44,241
117,0.8,28,35
118,0.8333,5,6
119,0.6333,19,30
120,0.4583,22,48
121,0.7857,11,14
122,0.7353,25,34
123,0.1429,3,21
124,0.6235,53,85
125,0.0,0,1
126,0.3871,12,31
127,0.7353,50,68
128,0.4231,11,26
129,0.3103,9,29
130,0.4311,72,167
131,0.0519,4,77
132,0.6429,45,70
133,0.8158,31,38
134,0.2638,43,163
135,0.5349,23,43
136,1.0,5,5
137,0.5909,39,66
138,0.7778,7,9
139,0.1667,2,12
140,0.6807,81,119
141,0.6,6,10
142,0.375,24,64
143,0.5484,17,31
144,0.5667,17,30
145,0.6667,4,6
146,0.4091,9,22
147,0.5714,36,63
148,0.5714,24,42
149,0.3929,11,28
150,0.0,0,4
151,0.4118,7,17
152,0.7073,29,41
153,0.8444,38,45
154,0.8108,30,37
155,0.5,5,10
156,0.5628,224,398
157,0.4583,11,24
158,0.4158,79,190
159,0.76,19,25
160,0.3333,51,153
161,0.1429,1,7
162,0.6087,14,23
163,1.0,10,10
164,0.7,49,70
165,0.1518,17,112
166,0.5,2,4
167,0.5,4,8
168,1.0,21,21
169,0.5714,24,42
170,0.7778,42,54
171,0.7143,5,7
172,0.2222,8,36
173,0.2,1,5
174,0.5,1,2
175,0.6786,19,28
176,0.8,4,5
177,0.6,3,5
178,1.0,13,13
179,0.25,1,4
180,0.6667,4,6
181,0.8889,8,9
182,1.0,1,1
183,0.3529,18,51
184,0.4844,93,192
185,0.4706,8,17
186,0.3559,21,59
187,1.0,7,7
188,0.1806,13,72
189,0.9189,34,37
190,0.8889,8,9
191,0.75,6,8
192,0.4615,6,13
193,0.0,0,3
194,0.8333,5,6
195,0.4,2,5
196,0.5,1,2
197,1.0,6,6
198,1.0,3,3
199,0.4444,8,18
200,0.5,39,78
201,0.9167,11,12
202,0.2093,18,86
203,0.4615,6,13
204,0.8571,18,21
205,0.48,24,50
206,0.7037,19,27
207,0.2222,4,18
208,0.6907,134,194
209,0.7857,11,14
211,0.7727,17,22
212,0.6154,8,13
213,1.0,6,6
214,0.5172,15,29
215,0.4375,14,32
216,0.5952,25,42
217,0.375,3,8
218,0.9167,22,24
219,0.0,0,2
220,0.7273,32,44
221,0.5,11,22
222,0.7,7,10
223,0.0,0,1
224,0.5556,15,27
225,0.463,25,54
226,0.8,4,5
227,0.2857,2,7
228,0.4,14,35
229,0.3898,23,59
230,0.66,33,50
231,0.5185,14,27
232,0.9268,38,41
233,0.2857,20,70
234,0.3333,10,30
235,0.48,12,25
236,0.8333,5,6
237,0.9074,49,54
238,0.6212,41,66
239,0.9583,46,48
240,0.6429,18,28
241,0.9524,20,21
242,0.5538,36,65
243,0.55,11,20
244,0.8393,47,56
245,0.8438,108,128
246,0.5455,6,11
247,0.4586,61,133
248,0.7826,18,23
249,0.6731,35,52
250,0.0,0,6
251,0.6496,89,137
252,0.8333,20,24
253,0.5833,7,12
254,0.6316,24,38
255,0.7059,12,17
256,0.7692,10,13
257,0.5556,5,9
258,0.4694,23,49
259,0.3077,16,52
260,0.4286,9,21
261,0.2609,6,23
262,0.8333,10,12
263,0.4746,28,59
264,0.5667,17,30
265,0.3684,7,19
266,0.5294,9,17
267,0.875,14,16
268,0.7778,7,9
269,0.3542,17,48
270,0.9231,24,26
271,0.3562,26,73
272,0.5882,10,17
273,0.4615,6,13
274,0.1364,3,22
275,1.0,16,16
276,0.2222,2,9
277,0.8571,6,7
278,0.5532,52,94
279,0.8235,28,34
280,0.96,48,50
281,0.7143,5,7
282,0.8,4,5
283,0.6552,57,87
284,0.68,17,25
285,0.6471,22,34
286,0.5156,33,64
287,0.8,16,20
288,0.3235,11,34
289,0.6875,11,16
290,0.65,13,20
291,0.6667,2,3
292,0.3171,26,82
293,0.4706,8,17
294,0.5957,84,141
295,0.159,31,195
296,0.72,18,25
297,0.3333,1,3
298,0.2896,86,297
299,0.2308,3,13
300,0.8571,6,7
302,1.0,3,3
303,0.641,25,39
304,0.8182,9,11
305,0.75,6,8
306,0.5556,15,27
307,0.85,17,20
308,0.5625,9,16
309,0.6413,59,92
310,0.6944,25,36
311,0.2857,26,91
312,0.7143,10,14
313,0.4783,11,23
314,0.9333,14,15
315,0.5909,13,22
316,0.5152,17,33
317,0.6667,36,54
318,0.5625,9,16
319,0.75,9,12
320,0.9,9,10
321,0.7273,8,11
322,0.6667,4,6
323,0.5,2,4
324,0.3421,13,38
325,0.5,9,18
326,0.2105,4,19
327,0.5833,14,24
328,0.3,6,20
329,0.7391,17,23
330,0.1955,43,220
331,0.4031,52,129
332,0.3261,15,46
333,0.6792,36,53
334,0.3147,45,143
335,0.7812,25,32
336,0.4,14,35
337,0.9333,28,30
338,0.8125,13,16
339,0.92,23,25
340,0.7778,14,18
341,0.0,0,7
342,0.875,7,8
343,0.3415,14,41
344,0.7045,31,44
345,0.4286,3,7
346,0.6667,12,18
347,0.4948,48,97
348,0.918,56,61
349,0.5,16,32
350,0.3571,5,14
351,0.8889,8,9
352,0.6562,21,32
353,1.0,8,8
354,0.5,17,34
355,0.375,3,8
356,1.0,4,4
357,1.0,7,7
358,0.3846,20,52
359,0.8125,117,144
360,1.0,55,55
361,0.9231,24,26
362,1.0,4,4
363,0.4545,5,11
364,0.0,0,4
365,0.377,23,61
366,0.439,18,41
367,0.3525,43,122
368,0.3621,21,58
369,0.6667,6,9
370,0.9811,52,53
371,1.0,3,3
372,0.8571,18,21
373,0.5385,7,13
374,0.5769,45,78
375,0.8784,65,74
376,0.75,9,12
377,0.5041,62,123
378,0.6774,42,62
379,0.5385,7,13
380,0.6522,15,23
381,0.6615,43,65
382,1.0,3,3
383,0.2857,2,7
384,0.7143,5,7
385,0.6667,8,12
386,0.7258,45,62
387,0.9322,55,59
388,0.1835,20,109
389,0.3445,41,119
390,0.6092,53,87
391,0.625,10,16
392,0.75,3,4
393,0.5,10,20
394,0.758,119,157
395,0.7143,10,14
396,0.3333,2,6
397,0.7027,26,37
398,0.7143,5,7
399,0.8485,28,33
400,1.0,11,11
401,0.7594,101,133
402,0.7778,21,27
403,0.6667,2,3
404,0.1667,1,6
405,0.5714,4,7
406,0.1053,10,95
407,0.9167,22,24
408,1.0,3,3
409,0.8103,47,58
410,0.875,7,8
411,0.7037,19,27
412,0.4242,14,33
413,0.5932,70,118
414,0.5846,38,65
415,0.5789,33,57
416,0.6818,30,44
417,0.3411,44,129
418,0.7692,10,13
419,1.0,11,11
420,0.625,5,8
421,0.4324,48,111
422,0.4615,36,78
423,0.8462,11,13
424,0.3393,57,168
425,0.9362,44,47
426,0.8824,15,17
427,0.3651,46,126
428,0.4615,6,13
429,0.9286,13,14
430,0.5147,35,68
431,0.6,12,20
432,0.8889,8,9
433,0.6829,28,41
434,1.0,2,2
435,0.2537,34,134
436,0.8,24,30
437,0.6154,16,26
438,0.1266,10,79
439,0.8,8,10
440,0.8108,30,37
441,0.75,9,12
442,0.7778,7,9
443,0.5789,22,38
444,0.4902,25,51
445,0.5753,42,73
446,0.7143,30,42
447,0.5455,6,11
448,0.5714,28,49
449,0.6522,15,23
450,0.3333,9,27
451,0.5,22,44
452,0.5882,20,34
453,0.5909,39,66
454,0.4,2,5
455,0.3571,10,28
456,0.5882,10,17
457,0.5402,47,87
458,0.6667,2,3
459,0.9286,13,14
460,0.0,0,4
461,0.5164,63,122
462,0.619,52,84
463,0.675,54,80
464,0.3333,2,6
465,0.7308,95,130
466,0.7586,22,29
467,0.4545,5,11
468,0.8,4,5
469,0.5192,27,52
470,0.4,2,5
471,0.6667,52,78
472,1.0,19,19
473,0.6308,41,65
474,0.8158,31,38
475,0.6842,26,38
476,0.7857,11,14
477,0.4,2,5
478,0.7727,17,22
479,0.3556,32,90
480,0.25,2,8
481,0.3721,16,43
482,1.0,31,31
483,0.6061,20,33
484,0.7778,7,9
485,0.0667,3,45
486,0.9062,29,32
487,0.5455,6,11
488,0.3906,25,64
489,0.4688,45,96
490,0.5205,38,73
491,0.697,23,33
492,0.5278,38,72
493,0.2143,3,14
494,0.6571,23,35
495,0.5833,7,12
496,0.7838,29,37
497,0.5769,15,26
498,0.2857,2,7
499,0.6667,4,6
500,0.9677,30,31
501,0.4444,8,18
502,0.8,8,10
503,0.625,15,24
504,0.6596,31,47
505,0.9375,15,16
506,0.4412,15,34
507,0.4286,3,7
508,0.875,49,56
509,0.7398,91,123
510,0.5,3,6
511,0.5,3,6
512,0.8974,35,39
513,0.6667,2,3
514,0.5217,24,46
515,0.5965,34,57
516,0.5238,66,126
517,0.6098,25,41
518,0.5263,30,57
519,0.4,2,5
520,0.913,42,46
521,0.6786,19,28
522,1.0,3,3
523,0.7,7,10
524,0.3846,10,26
525,0.75,15,20
526,0.4,6,15
527,1.0,1,1
528,0.6667,2,3
529,0.0,0,2
530,0.2857,4,14
531,0.5,10,20
532,0.8333,5,6
533,0.8889,24,27
534,0.7778,7,9
535,1.0,1,1
536,0.2727,18,66
537,0.9,9,10
538,0.55,11,20
539,1.0,8,8
540,0.9231,12,13
541,1.0,8,8
542,0.5652,13,23
543,0.6216,23,37
544,0.1176,4,34
545,0.3365,35,104
546,0.6585,54,82
547,0.4211,8,19
548,0.4783,22,46
549,0.7551,37,49
550,0.4706,8,17
551,0.5556,5,9
552,0.6304,29,46
553,0.6613,41,62
554,0.4375,42,96
555,0.6429,9,14
556,0.5185,14,27
557,0.4727,26,55
558,0.6296,17,27
559,0.9167,11,12
560,0.5,11,22
561,1.0,4,4
562,0.8,12,15
563,0.875,14,16
564,0.4444,4,9
565,0.7273,16,22
566,0.6,3,5
567,0.8333,5,6
568,0.7778,28,36
569,0.3793,22,58
570,0.9,9,10
571,0.54,27,50
572,0.6475,90,139
573,0.9412,16,17
574,0.0952,2,21
575,0.5385,7,13
576,0.6842,13,19
577,0.7368,14,19
578,0.6842,52,76
579,0.2884,62,215
580,0.8,4,5
581,0.7692,10,13
582,0.7273,8,11
583,1.0,2,2
584,0.9286,26,28
585,0.7222,13,18
586,0.3827,62,162
587,0.4699,86,183
588,0.8148,22,27
589,1.0,8,8
590,0.6111,11,18
591,0.7027,26,37
592,0.7333,22,30
593,0.8304,142,171
594,0.6047,26,43
595,0.5833,7,12
596,1.0,9,9
597,0.7391,17,23
598,0.7619,16,21
599,0.3333,2,6
600,0.7037,57,81
601,0.6545,125,191
602,0.75,6,8
603,0.5111,69,135
604,0.3818,21,55
605,1.0,10,10
606,0.6154,8,13
607,0.3636,12,33
608,0.5,2,4
609,0.5238,44,84
610,0.4,58,145
611,0.68,51,75
612,0.5,1,2
613,1.0,2,2
614,0.4792,69,144
615,1.0,1,1
616,0.25,2,8
617,1.0,6,6
618,1.0,5,5
619,0.7833,47,60
620,0.6757,25,37
621,1.0,5,5
623,0.3429,12,35
624,0.4,8,20
625,0.8333,5,6
626,0.7778,7,9
627,0.5306,26,49
628,0.7843,40,51
629,0.4286,3,7
630,0.7576,25,33
631,0.6774,42,62
632,0.3143,66,210
633,0.6923,9,13
634,0.5263,10,19
635,0.9125,73,80
636,0.4286,3,7
637,0.4268,35,82
638,0.4444,4,9
639,1.0,8,8
640,0.2553,12,47
641,0.8,4,5
642,0.5952,25,42
643,0.4921,31,63
644,0.3,3,10
645,0.6364,7,11
646,0.3111,14,45
647,0.8333,10,12
648,0.4286,72,168
649,0.5484,17,31
650,0.6774,21,31
651,0.8333,10,12
652,0.875,21,24
653,1.0,8,8
654,0.85,17,20
655,1.0,9,9
656,0.6098,25,41
657,0.5556,5,9
658,0.6774,42,62
659,0.7667,23,30
660,0.5714,20,35
661,0.6667,22,33
662,0.6744,29,43
663,0.6437,56,87
664,0.9231,36,39
665,0.4545,15,33
666,0.7045,31,44
667,0.5333,16,30
668,1.0,2,2
669,0.625,5,8
670,0.48,12,25
671,1.0,18,18
672,0.7692,20,26
673,0.6512,28,43
674,0.725,29,40
675,0.5417,65,120
676,0.8333,5,6
677,0.5,18,36
678,0.5543,51,92
679,0.2609,6,23
680,0.6364,14,22
681,0.48,12,25
682,0.7619,16,21
683,0.45,18,40
684,0.7143,20,28
685,0.8667,26,30
686,0.2714,19,70
687,0.8,4,5
688,0.597,80,134
689,0.6552,57,87
690,0.7407,20,27
691,0.8182,9,11
692,1.0,1,1
693,0.6842,13,19
694,0.8478,39,46
695,0.5,3,6
696,0.6842,13,19
697,0.6667,6,9
698,0.8621,25,29
699,0.55,33,60
700,0.5217,24,46
701,0.5,4,8
702,0.2832,32,113
703,0.8571,6,7
704,0.4308,28,65
705,0.3733,28,75
706,0.75,12,16
707,0.0,0,5
708,0.4706,8,17
709,0.3333,1,3
710,0.7835,76,97
711,0.5385,14,26
712,0.2857,2,7
713,0.6667,2,3
714,0.7308,19,26
715,0.8571,6,7
716,1.0,3,3
717,0.76,95,125
718,0.5,1,2
719,0.7143,10,14
720,0.8696,20,23
721,0.5602,107,191
722,0.7174,33,46
723,0.3333,2,6
724,0.9677,30,31
725,0.7872,74,94
726,0.7568,28,37
727,0.8036,45,56
728,0.5,11,22
729,0.4857,34,70
730,0.5714,4,7
731,0.75,9,12
732,0.775,31,40
733,0.5217,48,92
734,1.0,6,6
735,0.8056,29,36
736,0.625,25,40
737,0.6364,35,55
738,0.7069,41,58
739,0.8462,55,65
740,0.3714,26,70
741,0.5683,154,271
742,0.9259,25,27
743,0.45,9,20
744,0.6692,87,130
745,0.7895,15,19
746,0.4444,4,9
747,0.75,3,4
748,0.6667,8,12
749,0.3646,35,96
750,0.1988,34,171
751,0.7143,15,21
752,0.8,4,5
753,0.4615,6,13
754,0.128,21,164
755,0.7692,10,13
756,0.625,5,8
757,0.75,12,16
758,0.64,16,25
759,0.64,16,25
760,0.4504,59,131
761,0.2387,37,155
762,0.2778,5,18
763,0.64,16,25
764,0.25,1,4
765,0.6667,4,6
766,0.6232,43,69
767,0.875,7,8
768,0.4025,64,159
769,0.4067,61,150
770,0.8158,31,38
771,0.7308,19,26
