advertiserNumber,advertiserCategoryIndex,budget,CPAConstraint,timeStepIndex,pValue,leastWinningCost,conversionAction
107,0,20000,62.13,21,0.001992,0.0748,0
107,0,20000,62.13,36,0.004809,0.199,0
107,0,20000,62.13,15,0.003152,0.1129,0
107,0,20000,62.13,13,0.023348,1.1339,0
107,0,20000,62.13,10,0.004198,0.2715,0
107,0,20000,62.13,32,0.010922,0.8738,0
107,0,20000,62.13,4,0.015598,1.2673,0
107,0,20000,62.13,5,0.076547,3.7999,0
107,0,20000,62.13,41,0.006752,0.4846,0
107,0,20000,62.13,27,0.009901,0.6642,0
107,0,20000,62.13,0,0.020535,0.8694,0
107,0,20000,62.13,2,0.020839,0.9658,0
107,0,20000,62.13,23,0.002638,0.2406,0
107,0,20000,62.13,25,0.027796,2.4417,0
107,0,20000,62.13,45,0.02037,1.7762,0
107,0,20000,62.13,9,0.019964,0.6723,0
107,0,20000,62.13,12,0.002713,0.1509,0
107,0,20000,62.13,2,0.001857,0.1026,0
107,0,20000,62.13,15,0.03534,1.3243,0
107,0,20000,62.13,16,0.009924,0.4479,0
107,0,20000,62.13,20,0.002703,0.1167,0
107,0,20000,62.13,18,0.017874,1.4719,0
107,0,20000,62.13,41,0.052962,1.6566,0
107,0,20000,62.13,12,0.012674,0.6906,0
107,0,20000,62.13,18,0.005324,0.2695,0
107,0,20000,62.13,2,0.04403,1.9944,0
107,0,20000,62.13,19,0.001247,0.0522,0
107,0,20000,62.13,46,0.019256,0.8449,0
107,0,20000,62.13,14,0.012634,0.5677,0
107,0,20000,62.13,8,0.017704,1.645,0
107,0,20000,62.13,8,0.00271,0.1804,0
107,0,20000,62.13,27,0.021672,1.6218,0
107,0,20000,62.13,23,0.016772,1.5458,0
107,0,20000,62.13,33,0.027976,1.9606,0
107,0,20000,62.13,2,0.053858,1.8854,0
107,0,20000,62.13,8,0.0251,2.1989,0
107,0,20000,62.13,19,0.036027,1.7043,0
107,0,20000,62.13,32,0.021778,0.8929,0
107,0,20000,62.13,1,0.005347,0.293,0
107,0,20000,62.13,18,0.012852,1.1154,0
107,0,20000,62.13,5,0.01713,0.6655,0
107,0,20000,62.13,12,0.012435,1.1169,0
107,0,20000,62.13,6,0.021561,1.3189,0
107,0,20000,62.13,6,0.043121,2.4288,0
107,0,20000,62.13,11,0.024688,1.3632,0
107,0,20000,62.13,20,0.002283,0.0862,0
107,0,20000,62.13,4,0.025175,2.1623,0
107,0,20000,62.13,41,0.007973,0.4753,0
107,0,20000,62.13,37,0.007948,0.6073,0
107,0,20000,62.13,1,0.00715,0.3137,0
107,0,20000,62.13,37,0.011786,0.648,0
107,0,20000,62.13,25,0.013613,0.9131,0
107,0,20000,62.13,41,0.014362,1.0606,0
107,0,20000,62.13,3,0.006099,0.379,0
107,0,20000,62.13,30,0.024069,1.8497,0
107,0,20000,62.13,40,0.018248,0.9705,0
107,0,20000,62.13,39,0.031769,1.1233,0
107,0,20000,62.13,10,0.004355,0.2779,0
107,0,20000,62.13,30,0.009241,0.8342,0
107,0,20000,62.13,31,0.017362,1.1894,0
107,0,20000,62.13,44,0.013116,1.0127,0
107,0,20000,62.13,26,0.034631,2.5126,0
107,0,20000,62.13,38,0.007036,0.321,0
107,0,20000,62.13,8,0.007192,0.5988,0
107,0,20000,62.13,24,0.006034,0.5352,0
107,0,20000,62.13,36,0.000714,0.0225,0
107,0,20000,62.13,9,0.00297,0.2638,0
107,0,20000,62.13,22,0.041762,3.4967,0
107,0,20000,62.13,19,0.000457,0.0375,0
107,0,20000,62.13,47,0.043747,1.7197,0
107,0,20000,62.13,18,0.001237,0.0494,0
107,0,20000,62.13,26,0.012062,0.6288,0
107,0,20000,62.13,20,0.01311,0.9248,0
107,0,20000,62.13,14,0.023739,1.5648,0
107,0,20000,62.13,46,0.008425,0.2896,0
107,0,20000,62.13,39,0.010122,0.6352,0
107,0,20000,62.13,33,0.020919,1.8603,0
107,0,20000,62.13,6,0.000597,0.0299,0
107,0,20000,62.13,33,0.008973,0.7088,0
107,0,20000,62.13,24,0.004427,0.2314,0
107,0,20000,62.13,42,0.003015,0.2152,0
107,0,20000,62.13,43,0.067558,3.1909,0
107,0,20000,62.13,22,0.016701,0.6763,0
107,0,20000,62.13,1,0.043997,1.7703,0
107,0,20000,62.13,23,0.02051,1.2974,0
107,0,20000,62.13,38,0.001996,0.109,0
107,0,20000,62.13,15,0.011882,0.9054,0
107,0,20000,62.13,34,0.043926,2.4821,0
107,0,20000,62.13,2,0.033094,1.2297,0
107,0,20000,62.13,6,0.002005,0.1201,0
107,0,20000,62.13,35,0.001285,0.0571,0
107,0,20000,62.13,26,0.021954,1.7466,0
107,0,20000,62.13,30,0.008947,0.6114,0
107,0,20000,62.13,32,0.034819,1.2741,0
107,0,20000,62.13,25,0.019103,0.785,0
107,0,20000,62.13,47,0.02728,1.327,0
107,0,20000,62.13,7,0.028305,1.9226,0
107,0,20000,62.13,7,0.002,0.1078,0
107,0,20000,62.13,35,0.018762,1.1065,0
107,0,20000,62.13,36,0.017558,1.1008,0
107,0,20000,62.13,1,0.011705,0.9634,0
107,0,20000,62.13,22,0.012399,1.1051,0
